rowid	covariateId	covariateName	analysisId	conceptId	prev.out	prev.noout	value	value	direction
36	25297201	Condition era record observed during anytime on or prior to cohort index:    25297-Acute pharyngitis	201	25297	0.150205761	0.204740213	NA	0.1	0
37	25572201	Condition era record observed during anytime on or prior to cohort index:    25572-Disorder of salivary gland	201	25572	0.004115226	0.001122334	NA	0.1	0
38	25844201	Condition era record observed during anytime on or prior to cohort index:    25844-Ulcer of esophagus	201	25844	0.00617284	0.001993794	NA	0.1	0
39	26378101	Condition occurrence record observed during 365d on or prior to cohort index:  26378-Hyperpituitarism	101	26378	0	0.000580973	NA	0.1	0
40	26378201	Condition era record observed during anytime on or prior to cohort index:    26378-Hyperpituitarism	201	26378	0	0.001505249	NA	0.1	0
41	26459201	Condition era record observed during anytime on or prior to cohort index:    26459-Acute esophagitis	201	26459	0.002057613	0.001333597	NA	0.1	0
42	26662101	Condition occurrence record observed during 365d on or prior to cohort index:  26662-Testicular hypofunction	101	26662	0.024691358	0.006469928	NA	0.1	0
43	26662201	Condition era record observed during anytime on or prior to cohort index:    26662-Testicular hypofunction	201	26662	0.032921811	0.012015581	NA	0.1	0
44	26711101	Condition occurrence record observed during 365d on or prior to cohort index:  26711-Chronic pharyngitis	101	26711	0	0.00050175	NA	0.1	0
45	26711201	Condition era record observed during anytime on or prior to cohort index:    26711-Chronic pharyngitis	201	26711	0.008230453	0.002627583	NA	0.1	0
46	26727101	Condition occurrence record observed during 365d on or prior to cohort index:  26727-Hematemesis	101	26727	0	0.000343302	NA	0.1	0
47	26727201	Condition era record observed during anytime on or prior to cohort index:    26727-Hematemesis	201	26727	0.002057613	0.001716512	NA	0.1	0
48	26935101	Condition occurrence record observed during 365d on or prior to cohort index:  26935-Disorder of endocrine testis	101	26935	0	0.000396118	NA	0.1	0
49	26935201	Condition era record observed during anytime on or prior to cohort index:    26935-Disorder of endocrine testis	201	26935	0.002057613	0.001069519	NA	0.1	0
50	27321201	Condition era record observed during anytime on or prior to cohort index:    27321-Persistent vomiting	201	27321	0.004115226	0.00124117	NA	0.1	0
51	27587201	Condition era record observed during anytime on or prior to cohort index:    27587-Disturbance of salivary secretion	201	27587	0.002057613	0.000567769	NA	0.1	0
52	27674101	Condition occurrence record observed during 365d on or prior to cohort index:  27674-Nausea and vomiting	101	27674	0.024691358	0.009863339	NA	0.1	0
53	27674201	Condition era record observed during anytime on or prior to cohort index:    27674-Nausea and vomiting	201	27674	0.067901235	0.040298409	NA	0.1	0
54	27918201	Condition era record observed during anytime on or prior to cohort index:    27918-Eosinophilic esophagitis	201	27918	0	0.000422526	NA	0.1	0
55	28060101	Condition occurrence record observed during 365d on or prior to cohort index:  28060-Streptococcal sore throat	101	28060	0	0.008080808	NA	0.1	0
56	28060201	Condition era record observed during anytime on or prior to cohort index:    28060-Streptococcal sore throat	201	28060	0.010288066	0.03520169	NA	0.1	0
57	28179201	Condition era record observed during anytime on or prior to cohort index:    28179-Polyp of vocal cord or larynx	201	28179	0.004115226	0.001584472	NA	0.1	0
58	28457101	Condition occurrence record observed during 365d on or prior to cohort index:  28457-Hypertrophy of tonsils	101	28457	0.002057613	0.000884664	NA	0.1	0
59	28457201	Condition era record observed during anytime on or prior to cohort index:    28457-Hypertrophy of tonsils	201	28457	0.002057613	0.004053608	NA	0.1	0
60	28714201	Condition era record observed during anytime on or prior to cohort index:    28714-Syndrome of diencephalo-hypophyseal origin	201	28714	0.002057613	0.000594177	NA	0.1	0
61	28974201	Condition era record observed during anytime on or prior to cohort index:    28974-Candidiasis of the esophagus	201	28974	0.002057613	0.000686605	NA	0.1	0
62	29056101	Condition occurrence record observed during 365d on or prior to cohort index:  29056-Sialoadenitis	101	29056	0.002057613	0.001254374	NA	0.1	0
63	29056201	Condition era record observed during anytime on or prior to cohort index:    29056-Sialoadenitis	201	29056	0.012345679	0.005374001	NA	0.1	0
64	29735101	Condition occurrence record observed during 365d on or prior to cohort index:  29735-Candidiasis of mouth	101	29735	0.004115226	0.001426025	NA	0.1	0
65	29735201	Condition era record observed during anytime on or prior to cohort index:    29735-Candidiasis of mouth	201	29735	0.016460905	0.005387205	NA	0.1	0
66	30061201	Condition era record observed during anytime on or prior to cohort index:    30061-Neoplasm of uncertain behavior of major salivary gland	201	30061	0	0.000673401	NA	0.1	0
67	30133101	Condition occurrence record observed during 365d on or prior to cohort index:  30133-Acute laryngitis	101	30133	0	0.001426025	NA	0.1	0
68	30133201	Condition era record observed during anytime on or prior to cohort index:    30133-Acute laryngitis	201	30133	0.012345679	0.007763914	NA	0.1	0
69	30163101	Condition occurrence record observed during 365d on or prior to cohort index:  30163-Cellulitis and abscess of neck	101	30163	0	0.000673401	NA	0.1	0
70	30163201	Condition era record observed during anytime on or prior to cohort index:    30163-Cellulitis and abscess of neck	201	30163	0.002057613	0.002931274	NA	0.1	0
71	30234101	Condition occurrence record observed during 365d on or prior to cohort index:  30234-Neck sprain	101	30234	0.012345679	0.011513831	NA	0.1	0
72	30234201	Condition era record observed during anytime on or prior to cohort index:    30234-Neck sprain	201	30234	0.04526749	0.046702317	NA	0.1	0
73	30284201	Condition era record observed during anytime on or prior to cohort index:    30284-Motion sickness	201	30284	0	0.000356506	NA	0.1	0
74	30361201	Condition era record observed during anytime on or prior to cohort index:    30361-Hypoglycemic disorder	201	30361	0	0.001135538	NA	0.1	0
75	30365201	Condition era record observed during anytime on or prior to cohort index:    30365-Panhypopituitarism	201	30365	0	0.000448934	NA	0.1	0
76	30437101	Condition occurrence record observed during 365d on or prior to cohort index:  30437-Gastro-esophageal reflux disease with esophagitis	101	30437	0.016460905	0.008542946	NA	0.1	0
77	30437201	Condition era record observed during anytime on or prior to cohort index:    30437-Gastro-esophageal reflux disease with esophagitis	201	30437	0.051440329	0.034950815	NA	0.1	0
78	30441201	Condition era record observed during anytime on or prior to cohort index:    30441-Sialolithiasis	201	30441	0.004115226	0.001135538	NA	0.1	0
79	30515201	Condition era record observed during anytime on or prior to cohort index:    30515-Congenital stenosis of esophagus	201	30515	0.004115226	0.001082723	NA	0.1	0
80	30679201	Condition era record observed during anytime on or prior to cohort index:    30679-Benign neoplasm of major salivary gland	201	30679	0.004115226	0.001016703	NA	0.1	0
81	30753101	Condition occurrence record observed during 365d on or prior to cohort index:  30753-Esophagitis	101	30753	0.010288066	0.00446293	NA	0.1	0
82	30753201	Condition era record observed during anytime on or prior to cohort index:    30753-Esophagitis	201	30753	0.034979424	0.019132501	NA	0.1	0
83	30978201	Condition era record observed during anytime on or prior to cohort index:    30978-Thalassemia	201	30978	0	0.000528157	NA	0.1	0
84	31057201	Condition era record observed during anytime on or prior to cohort index:    31057-Disorder of pharynx	201	31057	0.002057613	0.001808939	NA	0.1	0
85	31317101	Condition occurrence record observed during 365d on or prior to cohort index:  31317-Dysphagia	101	31317	0.022633745	0.00687925	NA	0.1	0
86	31317201	Condition era record observed during anytime on or prior to cohort index:    31317-Dysphagia	201	31317	0.065843621	0.026975639	NA	0.1	0
87	31598201	Condition era record observed during anytime on or prior to cohort index:    31598-Hypertrophy of tonsils AND adenoids	201	31598	0	0.001267578	NA	0.1	0
88	31602201	Condition era record observed during anytime on or prior to cohort index:    31602-Disorder of the larynx	201	31602	0.00617284	0.001003499	NA	0.1	0
89	31610101	Condition occurrence record observed during 365d on or prior to cohort index:  31610-Disorder of esophagus	101	31610	0.008230453	0.001148742	NA	0.1	0
90	31610201	Condition era record observed during anytime on or prior to cohort index:    31610-Disorder of esophagus	201	31610	0.012345679	0.003934773	NA	0.1	0
91	31821101	Condition occurrence record observed during 365d on or prior to cohort index:  31821-Disorder of endocrine system	101	31821	0.004115226	0.002429524	NA	0.1	0
92	31821201	Condition era record observed during anytime on or prior to cohort index:    31821-Disorder of endocrine system	201	31821	0.018518519	0.010114214	NA	0.1	0
93	31967101	Condition occurrence record observed during 365d on or prior to cohort index:  31967-Nausea	101	31967	0.016460905	0.007605466	NA	0.1	0
94	31967201	Condition era record observed during anytime on or prior to cohort index:    31967-Nausea	201	31967	0.04526749	0.030025748	NA	0.1	0
95	72404101	Condition occurrence record observed during 365d on or prior to cohort index:  72404-Joint stiffness	101	72404	0	0.000580973	NA	0.1	0
96	72404201	Condition era record observed during anytime on or prior to cohort index:    72404-Joint stiffness	201	72404	0	0.00211263	NA	0.1	0
97	72405101	Condition occurrence record observed during 365d on or prior to cohort index:  72405-Degenerative joint disease of shoulder region	101	72405	0.00617284	0.002337096	NA	0.1	0
98	72405201	Condition era record observed during anytime on or prior to cohort index:    72405-Degenerative joint disease of shoulder region	201	72405	0.032921811	0.008252459	NA	0.1	0
99	72407201	Condition era record observed during anytime on or prior to cohort index:    72407-Effusion of joint of shoulder region	201	72407	0.002057613	0.001201558	NA	0.1	0
100	72415101	Condition occurrence record observed during 365d on or prior to cohort index:  72415-Synovial plica	101	72415	0	0.000488546	NA	0.1	0
101	72415201	Condition era record observed during anytime on or prior to cohort index:    72415-Synovial plica	201	72415	0.008230453	0.002363504	NA	0.1	0
102	72457201	Condition era record observed during anytime on or prior to cohort index:    72457-Closed fracture of sacrum AND/OR coccyx without spinal cord injury	201	72457	0	0.000977091	NA	0.1	0
103	72459201	Condition era record observed during anytime on or prior to cohort index:    72459-Closed fracture of two ribs	201	72459	0.002057613	0.001122334	NA	0.1	0
104	72465101	Condition occurrence record observed during 365d on or prior to cohort index:  72465-Closed fracture of one or more phalanges of hand	101	72465	0.002057613	0.001478841	NA	0.1	0
105	72465201	Condition era record observed during anytime on or prior to cohort index:    72465-Closed fracture of one or more phalanges of hand	201	72465	0.012345679	0.008027992	NA	0.1	0
106	72469101	Condition occurrence record observed during 365d on or prior to cohort index:  72469-Closed traumatic dislocation of joint of shoulder region	101	72469	0	0.000514953	NA	0.1	0
107	72469201	Condition era record observed during anytime on or prior to cohort index:    72469-Closed traumatic dislocation of joint of shoulder region	201	72469	0	0.002205057	NA	0.1	0
108	72501201	Condition era record observed during anytime on or prior to cohort index:    72501-Superficial foreign body of foot without major open wound AND without infection	201	72501	0.002057613	0.00130719	NA	0.1	0
109	72576101	Condition occurrence record observed during 365d on or prior to cohort index:  72576-Benign tumor of breast	101	72576	0.00617284	0.002812438	NA	0.1	0
110	72576201	Condition era record observed during anytime on or prior to cohort index:    72576-Benign tumor of breast	201	72576	0.016460905	0.011817522	NA	0.1	0
111	72578201	Condition era record observed during anytime on or prior to cohort index:    72578-Neoplasm of uncertain behavior of breast	201	72578	0.002057613	0.001914571	NA	0.1	0
112	72618201	Condition era record observed during anytime on or prior to cohort index:    72618-Disorder of skeletal muscle	201	72618	0.004115226	0.001148742	NA	0.1	0
113	72708201	Condition era record observed during anytime on or prior to cohort index:    72708-Traumatic arthropathy of the shoulder region	201	72708	0.002057613	0.000488546	NA	0.1	0
114	72711101	Condition occurrence record observed during 365d on or prior to cohort index:  72711-Shoulder stiff	101	72711	0	0.000567769	NA	0.1	0
115	72711201	Condition era record observed during anytime on or prior to cohort index:    72711-Shoulder stiff	201	72711	0.004115226	0.001848551	NA	0.1	0
116	72712101	Condition occurrence record observed during 365d on or prior to cohort index:  72712-Synovial cyst	101	72712	0	0.000475342	NA	0.1	0
117	72712201	Condition era record observed during anytime on or prior to cohort index:    72712-Synovial cyst	201	72712	0	0.002020202	NA	0.1	0
118	72715101	Condition occurrence record observed during 365d on or prior to cohort index:  72715-Exostosis	101	72715	0.00617284	0.002099426	NA	0.1	0
119	72715201	Condition era record observed during anytime on or prior to cohort index:    72715-Exostosis	201	72715	0.012345679	0.009467221	NA	0.1	0
120	72737101	Condition occurrence record observed during 365d on or prior to cohort index:  72737-Microcalcifications of the breast	101	72737	0.004115226	0.003604674	NA	0.1	0
121	72737201	Condition era record observed during anytime on or prior to cohort index:    72737-Microcalcifications of the breast	201	72737	0.034979424	0.014973262	NA	0.1	0
122	72748101	Condition occurrence record observed during 365d on or prior to cohort index:  72748-Strain of rotator cuff capsule	101	72748	0	0.004344095	NA	0.1	0
123	72748201	Condition era record observed during anytime on or prior to cohort index:    72748-Strain of rotator cuff capsule	201	72748	0.026748971	0.015950353	NA	0.1	0
124	72990101	Condition occurrence record observed during 365d on or prior to cohort index:  72990-Localized osteoarthrosis uncertain if primary OR secondary	101	72990	0.010288066	0.00563808	NA	0.1	0
125	72990201	Condition era record observed during anytime on or prior to cohort index:    72990-Localized osteoarthrosis uncertain if primary OR secondary	201	72990	0.047325103	0.017495214	NA	0.1	0
126	72993101	"Condition occurrence record observed during 365d on or prior to cohort index:  72993-Localized, primary osteoarthritis"	101	72993	0.024691358	0.007843137	NA	0.1	0
127	72993201	"Condition era record observed during anytime on or prior to cohort index:    72993-Localized, primary osteoarthritis"	201	72993	0.055555556	0.020584934	NA	0.1	0
128	72995201	Condition era record observed during anytime on or prior to cohort index:    72995-Contracture of joint of hand	201	72995	0	0.000448934	NA	0.1	0
129	73008101	Condition occurrence record observed during 365d on or prior to cohort index:  73008-Enthesopathy	101	73008	0.004115226	0.00526837	NA	0.1	0
130	73008201	Condition era record observed during anytime on or prior to cohort index:    73008-Enthesopathy	201	73008	0.047325103	0.026117383	NA	0.1	0
131	73026201	Condition era record observed during anytime on or prior to cohort index:    73026-Abnormal breath sounds	201	73026	0.004115226	0.002059814	NA	0.1	0
132	73036201	Condition era record observed during anytime on or prior to cohort index:    73036-Closed fracture of olecranon process of ulna	201	73036	0	0.000541361	NA	0.1	0
133	73045101	Condition occurrence record observed during 365d on or prior to cohort index:  73045-Sprain of hand	101	73045	0.002057613	0.001690104	NA	0.1	0
134	73045201	Condition era record observed during anytime on or prior to cohort index:    73045-Sprain of hand	201	73045	0.008230453	0.007499835	NA	0.1	0
135	73075201	Condition era record observed during anytime on or prior to cohort index:    73075-Contusion of upper limb	201	73075	0.004115226	0.001135538	NA	0.1	0
136	73089201	Condition era record observed during anytime on or prior to cohort index:    73089-Contusion of buttock	201	73089	0	0.001914571	NA	0.1	0
137	73090101	Condition occurrence record observed during 365d on or prior to cohort index:  73090-Contusion of foot	101	73090	0.002057613	0.001927774	NA	0.1	0
138	73090201	Condition era record observed during anytime on or prior to cohort index:    73090-Contusion of foot	201	73090	0.008230453	0.00936159	NA	0.1	0
139	73231101	Condition occurrence record observed during 365d on or prior to cohort index:  73231-Arthralgia of temporomandibular joint	101	73231	0	0.000607381	NA	0.1	0
140	73231201	Condition era record observed during anytime on or prior to cohort index:    73231-Arthralgia of temporomandibular joint	201	73231	0.002057613	0.002720011	NA	0.1	0
141	73241101	Condition occurrence record observed during 365d on or prior to cohort index:  73241-Anal and rectal polyp	101	73241	0.010288066	0.003274576	NA	0.1	0
142	73241201	Condition era record observed during anytime on or prior to cohort index:    73241-Anal and rectal polyp	201	73241	0.030864198	0.013151119	NA	0.1	0
143	73300101	Condition occurrence record observed during 365d on or prior to cohort index:  73300-Radial styloid tenosynovitis	101	73300	0	0.001386413	NA	0.1	0
144	73300201	Condition era record observed during anytime on or prior to cohort index:    73300-Radial styloid tenosynovitis	201	73300	0.008230453	0.005479633	NA	0.1	0
145	73301101	Condition occurrence record observed during 365d on or prior to cohort index:  73301-Synovitis/tenosynovitis - wrist	101	73301	0.004115226	0.001861755	NA	0.1	0
146	73301201	Condition era record observed during anytime on or prior to cohort index:    73301-Synovitis/tenosynovitis - wrist	201	73301	0.018518519	0.009084307	NA	0.1	0
147	73302201	Condition era record observed during anytime on or prior to cohort index:    73302-Curvature of spine	201	73302	0.002057613	0.000607381	NA	0.1	0
148	73336201	Condition era record observed during anytime on or prior to cohort index:    73336-Closed traumatic dislocation ankle joint	201	73336	0	0.000462138	NA	0.1	0
149	73338201	Condition era record observed during anytime on or prior to cohort index:    73338-Sprain of lateral collateral ligament of knee	201	73338	0.004115226	0.001571268	NA	0.1	0
150	73341101	Condition occurrence record observed during 365d on or prior to cohort index:  73341-Closed fracture of head of radius	101	73341	0	0.00050175	NA	0.1	0
151	73341201	Condition era record observed during anytime on or prior to cohort index:    73341-Closed fracture of head of radius	201	73341	0.00617284	0.00241632	NA	0.1	0
152	73537201	Condition era record observed during anytime on or prior to cohort index:    73537-Breech presentation - delivered	201	73537	0	0.002337096	NA	0.1	0
153	73546201	Condition era record observed during anytime on or prior to cohort index:    73546-Disorder of breast associated with childbirth	201	73546	0.002057613	0.000858256	NA	0.1	0
154	73553101	Condition occurrence record observed during 365d on or prior to cohort index:  73553-Arthropathy	101	73553	0.010288066	0.008912656	NA	0.1	0
155	73553201	Condition era record observed during anytime on or prior to cohort index:    73553-Arthropathy	201	73553	0.057613169	0.035148874	NA	0.1	0
156	73560101	Condition occurrence record observed during 365d on or prior to cohort index:  73560-Calcaneal spur	101	73560	0.00617284	0.003525451	NA	0.1	0
157	73560201	Condition era record observed during anytime on or prior to cohort index:    73560-Calcaneal spur	201	73560	0.026748971	0.014207434	NA	0.1	0
158	73561201	Condition era record observed during anytime on or prior to cohort index:    73561-Loose body in joint of shoulder region	201	73561	0	0.00036971	NA	0.1	0
159	73562101	Condition occurrence record observed during 365d on or prior to cohort index:  73562-Solitary sacroiliitis	101	73562	0.00617284	0.002601175	NA	0.1	0
160	73562201	Condition era record observed during anytime on or prior to cohort index:    73562-Solitary sacroiliitis	201	73562	0.014403292	0.008107216	NA	0.1	0
161	73564101	Condition occurrence record observed during 365d on or prior to cohort index:  73564-Full thickness rotator cuff tear	101	73564	0	0.002099426	NA	0.1	0
162	73564201	Condition era record observed during anytime on or prior to cohort index:    73564-Full thickness rotator cuff tear	201	73564	0.014403292	0.00650954	NA	0.1	0
163	73571201	Condition era record observed during anytime on or prior to cohort index:    73571-Pathological fracture	201	73571	0.004115226	0.001333597	NA	0.1	0
164	73574101	Condition occurrence record observed during 365d on or prior to cohort index:  73574-Nonunion of fracture	101	73574	0.002057613	0.000620585	NA	0.1	0
165	73574201	Condition era record observed during anytime on or prior to cohort index:    73574-Nonunion of fracture	201	73574	0.004115226	0.002257873	NA	0.1	0
166	73575101	Condition occurrence record observed during 365d on or prior to cohort index:  73575-Deformity of toe	101	73575	0	0.000541361	NA	0.1	0
167	73575201	Condition era record observed during anytime on or prior to cohort index:    73575-Deformity of toe	201	73575	0	0.002099426	NA	0.1	0
168	73649101	Condition occurrence record observed during 365d on or prior to cohort index:  73649-Contusion of finger	101	73649	0	0.001003499	NA	0.1	0
169	73649201	Condition era record observed during anytime on or prior to cohort index:    73649-Contusion of finger	201	73649	0.00617284	0.004951476	NA	0.1	0
170	73673201	Condition era record observed during anytime on or prior to cohort index:    73673-Disorder of prosthetic joint	201	73673	0.00617284	0.00050175	NA	0.1	0
171	73754101	Condition occurrence record observed during 365d on or prior to cohort index:  73754-Restless legs	101	73754	0.002057613	0.001518452	NA	0.1	0
172	73754201	Condition era record observed during anytime on or prior to cohort index:    73754-Restless legs	201	73754	0.00617284	0.003683898	NA	0.1	0
173	73801101	Condition occurrence record observed during 365d on or prior to cohort index:  73801-Scrotal varices	101	73801	0	0.000633789	NA	0.1	0
174	73801201	Condition era record observed during anytime on or prior to cohort index:    73801-Scrotal varices	201	73801	0	0.003300984	NA	0.1	0
175	73819101	Condition occurrence record observed during 365d on or prior to cohort index:  73819-Pain of breast	101	73819	0.012345679	0.005004291	NA	0.1	0
176	73819201	Condition era record observed during anytime on or prior to cohort index:    73819-Pain of breast	201	73819	0.028806584	0.021958144	NA	0.1	0
177	73840101	"Condition occurrence record observed during 365d on or prior to cohort index:  73840-Localized, primary osteoarthritis of the shoulder region"	101	73840	0.004115226	0.001161946	NA	0.1	0
178	73840201	"Condition era record observed during anytime on or prior to cohort index:    73840-Localized, primary osteoarthritis of the shoulder region"	201	73840	0.012345679	0.004436522	NA	0.1	0
179	73842201	Condition era record observed during anytime on or prior to cohort index:    73842-Enthesopathy of elbow region	201	73842	0.004115226	0.001690104	NA	0.1	0
180	73843101	Condition occurrence record observed during 365d on or prior to cohort index:  73843-Synovial cyst of popliteal space	101	73843	0.002057613	0.000963887	NA	0.1	0
181	73843201	Condition era record observed during anytime on or prior to cohort index:    73843-Synovial cyst of popliteal space	201	73843	0.008230453	0.003565062	NA	0.1	0
182	73866201	Condition era record observed during anytime on or prior to cohort index:    73866-Congenital anomaly of breast	201	73866	0	0.000884664	NA	0.1	0
183	73884201	Condition era record observed during anytime on or prior to cohort index:    73884-Closed fracture of three ribs	201	73884	0.002057613	0.000673401	NA	0.1	0
184	73889201	Condition era record observed during anytime on or prior to cohort index:    73889-Sprain of distal tibiofibular ligament	201	73889	0	0.001412821	NA	0.1	0
185	73904201	"Condition era record observed during anytime on or prior to cohort index:    73904-Open wound of buttock, uncomplicated"	201	73904	0	0.000409322	NA	0.1	0
186	73923201	Condition era record observed during anytime on or prior to cohort index:    73923-Contusion of upper arm	201	73923	0	0.000633789	NA	0.1	0
187	74052101	Condition occurrence record observed during 365d on or prior to cohort index:  74052-Labyrinthitis	101	74052	0	0.001029907	NA	0.1	0
188	74052201	Condition era record observed during anytime on or prior to cohort index:    74052-Labyrinthitis	201	74052	0.008230453	0.006694395	NA	0.1	0
189	74114101	Condition occurrence record observed during 365d on or prior to cohort index:  74114-Cellulitis and abscess of foot excluding toe	101	74114	0.004115226	0.001505249	NA	0.1	0
190	74114201	Condition era record observed during anytime on or prior to cohort index:    74114-Cellulitis and abscess of foot excluding toe	201	74114	0.018518519	0.00687925	NA	0.1	0
191	74125101	Condition occurrence record observed during 365d on or prior to cohort index:  74125-Inflammatory polyarthropathy	101	74125	0.002057613	0.001848551	NA	0.1	0
192	74125201	Condition era record observed during anytime on or prior to cohort index:    74125-Inflammatory polyarthropathy	201	74125	0.018518519	0.006390704	NA	0.1	0
193	74130101	Condition occurrence record observed during 365d on or prior to cohort index:  74130-Thoracic spondylosis without myelopathy	101	74130	0.002057613	0.001214762	NA	0.1	0
194	74130201	Condition era record observed during anytime on or prior to cohort index:    74130-Thoracic spondylosis without myelopathy	201	74130	0.00617284	0.004330891	NA	0.1	0
195	74132101	Condition occurrence record observed during 365d on or prior to cohort index:  74132-Degeneration of lumbosacral intervertebral disc	101	74132	0.032921811	0.016399287	NA	0.1	0
196	74132201	Condition era record observed during anytime on or prior to cohort index:    74132-Degeneration of lumbosacral intervertebral disc	201	74132	0.100823045	0.050505051	NA	0.1	0
197	74135101	Condition occurrence record observed during 365d on or prior to cohort index:  74135-Disorder of synovium	101	74135	0	0.000633789	NA	0.1	0
198	74135201	Condition era record observed during anytime on or prior to cohort index:    74135-Disorder of synovium	201	74135	0.002057613	0.002218261	NA	0.1	0
199	74138101	Condition occurrence record observed during 365d on or prior to cohort index:  74138-Pathological fracture of vertebra	101	74138	0	0.000316894	NA	0.1	0
200	74138201	Condition era record observed during anytime on or prior to cohort index:    74138-Pathological fracture of vertebra	201	74138	0.00617284	0.001492045	NA	0.1	0
201	74174101	Condition occurrence record observed during 365d on or prior to cohort index:  74174-Urinary symptoms	101	74174	0	0.000356506	NA	0.1	0
202	74174201	Condition era record observed during anytime on or prior to cohort index:    74174-Urinary symptoms	201	74174	0.004115226	0.002033406	NA	0.1	0
203	74188101	Condition occurrence record observed during 365d on or prior to cohort index:  74188-Closed fracture of rib	101	74188	0.002057613	0.000660197	NA	0.1	0
204	74188201	Condition era record observed during anytime on or prior to cohort index:    74188-Closed fracture of rib	201	74188	0.00617284	0.003063313	NA	0.1	0
205	74189101	Condition occurrence record observed during 365d on or prior to cohort index:  74189-Sprain of cruciate ligament of knee	101	74189	0	0.00198059	NA	0.1	0
206	74189201	Condition era record observed during anytime on or prior to cohort index:    74189-Sprain of cruciate ligament of knee	201	74189	0.00617284	0.007592262	NA	0.1	0
